Title,Description,Category,Award,Due Date
Children's Scholarship Fund,"Children who have lost a parent or had a parent seriously injured in an air medical or critical care ground transport accident are eligible for financial assistance through the MedEvac Foundation International’s Children’s Scholarship Fund. The Foundation will award two scholarships of $5,000 (one for a child who has a lost a parent in an air medical transport accident and one for child who has lost a parent in a critical care ground transport accident) to a deserving student entering or enrolled in college, university or vocational-technical school.",- None -,"$5,000",7/31/2019
CardRates.com Financial Futures Scholarship,"CardRates.com is proud to offer the Financial Futures Scholarship to future and current college students majoring in Business, Accounting, Finance, Mathematics, Management, and others preparing for a career in the personal finance industry. Applicants will be judged based on outstanding academic achievement and submission of an essay based on the following topic: ""In 10 years, how do you see yourself impacting the finance industry?""",Business,"$1,000",7/31/2019
Instapple’s Bi-Annual Internet Marketing Scholarsh,"Our company is offering a scholarship to some students whose study area is Business, Marketing and Information Technology and any other student who knows about Digital Marketing can apply. We are very excited to start this initiative for students to meet their study expenses.",Business,"$1,000",7/31/2019
Minc Law Scholarship,"The Minc Law Scholarship was created with the belief that everyone who wants to continue learning in college should get the chance to do so. Minc Law has created a scholarship to give college students the chance to further their education by awarding one person a $1,500 scholarship to be applied to their college tuition bill.",Medicine,"$1,500",7/31/2019
Strive to be the Best Criminal Lawyer Scholarship,"At the DM Cantor, our criminal defense lawyers believe in higher education, and we take pride in representing people who have been accused of DUI or criminal conduct. We understand and appreciate the importance and affect that a solid education can have on the future success of a criminal law school student. We also understand the potential difficulties of obtaining a criminal law degree because of the increasing costs of tuition, text books, and the everyday expenses regarding the necessities of life. Striving to become the best criminal lawyer (or the top lawyer in any area of practice) takes a lot of hard work and dedication. In order to help make a college or law school education a more affordable opportunity, the Arizona DUI and criminal law firm of the DM Cantor is offering a $2,500 college or law student scholarship to help current, or soon-to-be, college students ease the burden of higher education costs.",Law,"$2,500",7/31/2019
The Safer Community Scholarship,"Students interested in applying for this scholarship must write a 750-1000 word essay discussing how they helped someone overcome an obstacle, made someone feel welcome or enacted change on their campus or in their community.",Other,"$1,000",7/31/2019
Giving Back to the Community Scholarship,The Grungo Colarulo Giving Back to the Community Scholarship was established to recognize students for their dedication to serving the community. One student will be selected to receive this $1000 scholarship for their essay detailing how their commitment to serving the community has impacted them as well as others.,Other,"$1,000",7/31/2019
2019 Business Process Management Scholarship,"Shelving, Inc. offers the 2019 Business Process Management Scholarship to any college student currently pursuing a major in business and/or currently enrolled in a business-related field of study.",Business,"$1,500",7/31/2019
The Dominguez Firm Collegiate Scholarship Award,"The Dominguez Firm, LLP proudly supports the education and wellbeing of future generations in their pursuit of personal success. Attorney Juan J. Dominguez, the founder, CEO and managing partner of The Dominguez Firm, is passionate about educating students to ensure a bright future for our communities throughout California, across this country and abroad. The firm has a long and proud history of community involvement and with charitable causes. Leading by example, the firm sponsors the below scholarships in hopes to encourage similar minded students to give back to their communities after completing their education.",- None -,"$5,000",7/31/2019
The Dominguez Firm Legal Scholarship Award,"The Legal Scholarship Award will be presented to a worthy student accepted into or currently enrolled in law school. This $2,500 scholarship recognizes that individual’s academic achievements and unique goals despite their struggles or challenges.",Law,"$2,500",7/31/2019
The Scholarship for Tomorrow's Entrepreneur,"The GreenPal Business Scholarship is an evergreen scholarship and will be renewed annually. GreenPal believes small businesses are the backbone of our country's economy. Our CEO started his first company, a small lawn mowing business, in high school and grew the company while attending college, ultimately scaling the organization to over 100 employees. Having recently guided that company through acquisition by a respected national organization he wants to assist aspiring entrepreneurs attending college while starting or running a small business. The purpose of The GreenPal Small Business Scholarship is to assist a motivated, driven student and future business leader. We believe that the generation of today's students are the future employers of tomorrow. The future of our county will be forged by the entrepreneurial spirit of today's generation. If you currently run a small business while attending college or have a small business idea to start while you plan to attend college, see below for the instructions and criteria for applying for the GreenPal scholarship. We will open up the 2016 application entry period August 1st, 2015 Refer to criteria below for eligibility requirements Refer to application process below for a list of the supporting documents needed (i.e., evidence of GPA.) Incomplete applications will not be considered Submissions are to be submitted through the online application process below Scholarship winner will be announced June 1st, 2016 This is an evergreen scholarship and will be renewed and funded each year by GreenPal Co.",Business,"$2,000",8/1/2019
The FamilyAssets 2019 Scholarship,"FamilyAssets is proud to be offering a $3,000 scholarship for one (1) eligible student during 2019 that has provided care to an elderly family member or volunteered providing care in a community setting.",- None -,"$3,000",8/1/2019
Antibodies.com Scholarship Program,"Our mission at Antibodies.com is to support life science research and help advance our understanding of biology and the causes of disease. Part of this mission involves supporting the next generation of life scientists by offering internships, work experience, and scholarships. Twice a year we award a $1,000 stipend to a student in the Unites States to help cover their tuition fees. To apply for this scholarship, simply complete the online application form.",Medicine,"$1,000",8/1/2019
BestCarSeatHub.com Scholarship Program 2019?,Two lucky students will win a one-time monetary award for tuition to the US accredited college of their choice. We hope to award scholarships to students who will better shape the future of the child safety seat industry. Our scholarship requires an application and either an essay or a video answering one of eleven questions. Our hope is that you put a link to the $2500 BestCarSeatHub.com Scholarship Program on your financial aid pages and help publicize it to your students so that we can continue to grow the program.,Health Professions,"$2,500",8/1/2019
Teachinguide Online Learning Scholarship,"Teachinguide Online Learning Scholarship would like to help and empower the online learning community by providing a $1000 worth of scholarship for the student's education expenses ie. tuition, accommodation and travel costs.",- None -,"$1,000",8/1/2019
Citizens Bank Undergraduate Scholarship,"We are Citizens helping Citizens Fund their Potential Applicants must: •Be 17 years of age or older at the time of application •Be legal residents of the fifty (50) United States or the District of Columbia •Be enrolled as an undergraduate in accredited post-secondary institution of higher learning for the school year 2019-2020. •Submit an online written response to the essay question ""If you had $100,000 to spend, how would you use it to impact your community?"" (250 words or less)",- None -,"$2,500",8/1/2019
Citizens Bank Graduate Scholarship,"We are Citizens helping Citizens Fund their Potential Applicants must: •Be 17 years of age or older at the time of application •Be legal residents of the fifty (50) United States or the District of Columbia •Enrolled as a graduate student in accredited post-secondary institution of higher learning for the school year 2019-2020. •Submit an online written response to the essay question ""If you had $100,000 to spend, how would you use it to impact your community?"" (250 words or less)",- None -,"$5,000",8/1/2019
Healthdoc Academic Scholarship,"At healthdoc, we place a lot of value in healthcare education. To express just how much we value healthcare education, we offer scholarships to deserving students currently taking a certificate or degree program in healthcare education. The scholarship is also available to students in all academic levels.",Other,$500,8/1/2019
AFSCME/UNCF Union Scholars Program,"Sophomore or junior student of color in certain majors (see website) with a 2.5 GPA. Must demonstrate interest in working for social and economic justice through the labor movement. A $4,000 intern stipend is also available",- None -,"$5,000",8/6/2019
Army ROTC Scholarships,"Applicants must be US Citizens age 17-27 with ACT scores of at least 19 or SAT of at least 920 and 2.5 gpa. Eligible to join the ROTC, Scholarship includes tuition, room & board and a stipend.",- None -,$0,8/6/2019
ABODO I Heart My School Scholarship,"ABODO is an apartment search service that was started by a few guys from UW Madison. ABODO was built by students for students because they loved their school, but hated every time they had to find a new place to live. They decided to pull together all the best listings around campus and put them all on a map with powerful filters and real-time availability. It worked for them, so now they are on a mission to spread the love to campuses across the country! They loved their school and now they want to find out more about why you love your school. Applicants will submit a 500-1000 word essay about what makes their school so awesome.",- None -,$500,8/6/2019
Rotary Scholarships,"Rotary District 5690, composed of Rotary Clubs in southern Kansas and the Panhandle of Oklahoma, offers a variety of graduate-level scholarships for study abroad.",- None -,$0,8/7/2019
Phi Delta Kappa Scholarships,"Through the PDK Educational Foundation, PDK offers a variety of ways for members to get financial assistance for school, research, and education projects.",- None -,$0,8/7/2019
Nursing Track Scholarship,"NursingTrack.com is offering a Nursing School Scholarship available to any student participating in a qualified undergraduate, graduate or certificate level nursing program. This award is given out once every year.",Nursing,"$1,000",8/7/2019
Navy College Program and Tuition Assistance,The Navy offers financial assistance programs that can help pay for your education - with no service obligation until after schooling is complete. There are many generous programs for students pursuing undergraduate course work and beyond.,- None -,$0,8/7/2019
Mosaic Clinic Hair Transplant Center Scholarship,"As a Houston hair transplant leader, Mosaic Clinic Hair Transplant Center feels it is their responsibility to give back to the community and further advance the world of education. They are offering a scholarship for those who need tuition assistance which will be paid directly to the school of the winning applicants.",- None -,$250,8/7/2019
Jan Egerton & Don Smitley Mesothelioma Scholarship,"MesotheliomaHelp is pleased to announce the “Jan Egerton and Don Smitley Mesothelioma Scholarship.” They are proud to offer scholarships in the names of these two mesothelioma warriors and helping the educational efforts of students while raising awareness of mesothelioma. There are also second, third and fourth place scholarship awards.",- None -,$0,8/7/2019
Hispanic Scholarship Fund,Scholarships for students of Hispanic Heritage,- None -,$0,8/7/2019
Help Johnny Scholarship,"The Help Johnny Scholarship is provided by StudentScholarships.org, which provides Free Online Scholarship and Career Matching Services.The scholarship is available to any student that is 19 years or under, as of October 25, 2010 and is renewable.",- None -,"$5,000",8/7/2019
GoCollege.com Lucky Draw Scholarship,GoCollege.com offers a monthly scholarship to students.,- None -,$250,8/7/2019
Greater Kansas City Hispanic Scholarship Fund,The Hispanic Development Fund awards college scholarships to Hispanic high school and college students from the Kansas City metro area through the Hispanic Development Fund Scholarship Program.,- None -,$0,8/7/2019
Graduate Programs Foundation Scholarship,"Graduate Programs will award $1,000 scholarships to current graduate students or $1,000 toward student loan payments for recent grads during the last five years.",- None -,"$1,000",8/7/2019
GMR Transcription Scholarship,"GMR Transcription is a leading transcription services company that transcribes voice recordings for academic, business, legal, non-profit and other organizations and offers ongoing quarterly awards for both English and Spanish translation students.",- None -,$500,8/7/2019
Greater Kansas City Community Foundation,A large number of scholarships of all different types are offered by this foundation.,- None -,$0,8/7/2019
Giva Semi-Annual Student Scholarship,"Giva, Inc., a technology company located in Silicon Valley is excited to offer a semi-annual scholarship to assist undergraduate or graduate students attending a college or university further their education. They offer various scholarship including the fields of Nursing and Medicine.",- None -,"$1,000",8/7/2019
Get Prepped LSAT Pre Law & Law Student Scholarship,"The Pre-law Scholarship is to help students wishing to attend law school to pay for law school applications fees, LSAT testing fees and other related costs.The Law Student Scholarship is to help current law students experiencing financial difficulties continue their studies.",Law,"$1,000",8/7/2019
Fitness Awareness Scholarship,The Fitness Awareness Scholarship is offered by Fitness Surprise. Up to four scholarships will be awarded for 2014 to future/current graduate and undergraduate students.,- None -,"$2,500",8/7/2019
Families of Freedom Scholarship Fund,"The purpose of the Fund is to provide education assistance for postsecondary study to financially needy dependents of those people killed or permanently disabled as a result of the terrorist attacks on September 11, 2001, and during the rescue activities relating to those attacks.",- None -,$0,8/7/2019
CompareCards.com Scholarship,Each month CompareCards will award a scholarship to a college student in need who can answer a tricky trivia question and the follow up tiebreaker question.,- None -,"$2,500",8/7/2019
Environmental Institute for Golf Scholarships,"A number of different scholarships for students pursuing careers in the golf course industry, future turfgrass researchers and educators, children and grandchildren of GCSAA members, and foreign students studying in the United States.",- None -,$0,8/7/2019
Costa Rica Early Start Study Abroad Program,"The Costa Rica Early Start Study Abroad Program Scholarship is funded by the generous support of Richard Paegelow, KU Alumnus and former participant of the San Jose, Costa Rica study abroad program. Awards are designed to assist KU undergraduate students who can benefit from the month-long Early Start program to strengthen language and cultural adaptation skills in anticipation of semester study at Universidad de Costa Rica.",- None -,"$1,200",8/7/2019
Campus Explorer Scholarship,Use Campus Explorer's Scholarship Search to find scholarships that can help pay for college,- None -,"$1,000",8/7/2019
"Critical Systems, Inc. Breakthrough Technologies","Critical Systems, Inc. is committed to supporting the breakthrough technologies that are being developed in Semiconductor and related industries. They provide the gas delivery, gas abatement, and orbital welding, and other products & services that are fundamental to these technologies. Many of their customers are universities and research organizations where these technologies are first cultivated. That is why Critical Systems is now offering the Breakthrough Technologies Scholarship. This scholarship will be awarded to 3rd or 4th year engineering and science students pursuing a career that involves the use of micro and/or nano technologies (MEMS, Solar PV, Thin Film or the like).",Engineering,"$1,000",8/7/2019
CheapAutoInsurance.org Scholarship,CheapAutoInsurance.org will award a scholarship to at least one winner per year for their best rendition of a commercial promoting auto insurance and its value to high school and college students,- None -,$500,8/7/2019
ConsumerAffairs International Scholarship,The Consumer Affairs International Scholarship programme is designed to facilitate the immersion of international students into the UK educational system. A scholarship will be awarded bi-annually in December and April to the winner of their essay contest to assist with the costs of studying abroad in the U.K.,- None -,"$1,000",8/7/2019
CollegeMapper Scholarship,CollegeMapper is an online tool that helps high school students through the college admissions process. They also work with organizations such as the University of Washington Dream Project and the Boys and Girls Club to help low income and first-generation college students get into college.,- None -,$500,8/7/2019
BestColleges.com Scholarship Resources for Women,"BestColleges.com, a site that features college planning tools and academic resources has created the College Scholarships and Resources for Women with busy college students in mind, simplifying the list of scholarships and providing the opportunity to read more about only the most relevant. With a focus on STEM subjects, their resource includes scholarships sorted across academic interests and personal demographics, as well as a collection of organizations dedicated to helping women further their education and professional development following graduation.",- None -,$0,8/7/2019
Belly Go Round Scholarships,"Belly Go Round, an online retailer of preowned maternity clothes, will be awarding scholarships to a college student working towards a career in child development, OBGYN or labor delivery nursing or teaching. Applicants don’t need to write a long winded essay or fill out any long application forms to apply. Just send BellyGoRound.com a short reply with your basic contact info and why you chose the profession you are working towards for your chance to win $500 towards school.",- None -,$500,8/7/2019
BannerStandPros.com Scholarships,"The BannerStandPros.com scholarship is designed to foster creativity and promote passion in marketing and design for all industries. On behalf of the participating institutions, the goal of our scholarship is to provide financial assistance to students pursuing an education in the marking and design industries. Banner Stand Pros will award one $500 cash scholarship to the student who completes the best banner design following the specifications on the website.",- None -,$500,8/7/2019
Anyoption.com Scholarship,"Anyoption, the world’s leading binary option trading platform believes that through education and personal development the sky really is the limit. With that in mind, they are proud to announce their higher education scholarship competition. Applicants must be less than 25, enrolled full-time in a higher level institute and submit an essay of no less than 1200 words on “investing for young adults”.",- None -,$500,8/7/2019
Autodesk Scholarships and Competitions,"Design competitions are a great way to sharpen your skills and show off creativity. Autodesk proudly sponsors competitions around the world with the goal of helping advance students’ knowledge and skills through challenges that inspire and prepare them for promising careers in architecture, engineering, and the digital arts.",- None -,"$1,000",8/7/2019
Printaholic.com Artistic Excellence Scholarship,"Printaholic.com is pleased to offer the Artistic Excellence in Print Design & Marketing Scholarship,to a current undergraduate or graduate majoring in Graphic Arts & Design or a related field.",Arts,"$1,000",8/7/2019
RN to BSN Financial Aid Resources,"RN to BSN.org provides a searchable database of financial resources, including grants, federal aid and scholarships, for both current and prospective students pursuing a degree in nursing.",- None -,$0,8/7/2019
Scholarships for Women,"Women-specific scholarships originated decades ago as a way to encourage more women to consider pursuing college-level education. At that time, female students were a minority. While the ranks of women in college have greatly expanded over the years, there is a continued effort to increase the diversity of the student population, create additional opportunities, and encourage entry into non-traditional fields of study, such as Science, Technology, Engineering, and Mathematics (STEM). The link below presents women-specific scholarships by field or major, including the general criteria for each scholarship.",- None -,$0,8/7/2019
Scholarship Guidance,Scholarship Guidance has an ongoing list of scholarships for students attending a post -secondary institution,- None -,$0,8/7/2019
Steroidal.com Student Fitness Scholarship,"Applicants will fill out a survey about fitness, health and nutrition habits and submit a copy of their transcript.",- None -,"$1,000",8/7/2019
Truman Heartland Community Foundation Scholarships,This foundation coordinates over 140 scholarship funds for students in the Kansas City area.,- None -,$0,8/7/2019
United Negro College Fund,"The United Negro College Fund Program Services Department manages various scholarship programs. Each program has its own eligibility criteria, deadlines and required documentation.",- None -,$0,8/7/2019
United Tribes of Kansas and SE Nebraska WIA Progra,"The United Tribes of Kansas and SE Nebraska WIA Program helps American Indians, Alaskan Natives and Hawaiian Natives with scholarship money for their college tuition. Must be an enrolled members of a Federally Recognized Tribe.",- None -,$0,8/7/2019
Varsity Tutors College Scholarship Contest,"Varsity Tutors offers a monthly $1,000 college scholarship contest to students who write the best essay in response to a monthly prompt.",- None -,"$1,000",8/7/2019
Wells Fargo,"When a student signs up to receive college tips and tools from Wells Fargo, they will automatically be entered in the CollegeSTEPS Sweepstakes for a chance to win $1,000. A total of 40 $1,000 prizes will be awarded.",- None -,"$1,000",8/7/2019
BankingSense Scholarships & Grants Guide,BankingSense.com offers a College Scholarships & Grants guide and is one of the fastest growing and informative personal finance blogs on the web.,- None -,$0,8/7/2019
A Step Ahead Scholarship,"At Simple. Thrifty. Living., we’re committed to helping you prepare for your financial future to enjoy life the way it should be lived. Whether it’s gaining internship experience in your desired field, opening up a savings account, or meeting with a financial aid counselor to discuss student loan repayment options, every little step counts. In 800 words or less, tell us how you are preparing for post-college life.",- None -,"$1,500",8/9/2019
AccountingEdu.org Scholarships,AccountingEDU.org has put together a list of accounting scholarships available at the state level and through schools offering accounting programs. They have also included the top national scholarships to make sure the information is all in one place.,- None -,$0,8/12/2019
Mid-Atlantic Basement Waterproofing BiYearly Award,Mid-Atlantic Basement Waterproofing of Philadelphia and NJ values education and helping students fund their educational costs towards their tuition. Their scholarship will be offered bi-yearly for years to come,- None -,"$1,000",8/12/2019
Wholesale Halloween Costumes Scholarship,Wholesale Halloween Costumes runs multiple scholarships each year for part time and full time college students. Their goal is to contribute to higher education and learning by offering the winning student financial assistance to help cover the expenses of tuition and books,- None -,$0,8/12/2019
BSN and RN-BSN Grants and Scholarships,The growing demand for BSN-educated RNs has increased the number of scholarship programs and initiatives available to both pre-licensure BSN students and practicing registered nurses returning to school to complete RN-BSN programs. This website provides scholarships and grant opportunities by State.,Nursing,$0,8/12/2019
Moxie Pest Control Customer Service Scholarship,"Moxie Pest Control takes pride in their customer service, including building a solid customer base, creating careers for local families and establishing good relationships with their local suppliers and vendors. They are pleased to support those actively engaged in developing their selves through the pursuit of college education and will award their scholarships to the applicants who submit the winning essay.",- None -,$500,8/13/2019
Good Call Scholarship Search,GoodCall is a search engine for scholarship awards,- None -,$0,8/13/2019
RentLingo’s.com Dream Big Scholarship,"RentLingo is the largest source of expert apartment reviews. They are passionate about creating transparency in renting. RentLingo was started while the founders were students and college spirit is in their DNA and drives them to give back. To help defer the cost of college, they are offering a scholarship twice per year.",- None -,"$1,000",8/13/2019
American Graphics Institute Scholarships,"American Graphics Institute offers multiple scholarships to encourage the use of design and creative thinking across various disciplines and fields. Several scholarships are available each year for students enrolled in any accredited post-secondary degree-granting program in the United States, including undergraduate and post-graduate programs",- None -,$0,8/13/2019
ApartmentList Scholarship,"Apartment List is one of the fastest growing apartment rental marketplaces in the U.S. As a company filled with many college grads, they know that college is an important life endeavor, but one that can be expensive. Since they couldn’t have graduated without a little help along the way, they want to give back to the future leaders of America. Therefore, they are offering a Fall and a Winter scholarship award to outstanding students who exemplify one or more of Apartment List’s core values.",- None -,"$2,500",8/14/2019
Eureka Software Solutions Scholarship,"Eureka Software Solutions, a custom software development company understands how important education is. They also know it can be a financial burden for some individuals/families. To help students who are young software developers, they would like to ease the financial burden by offering an opportunity for a scholarship to High School seniors who have built a working, unique software product or app.",Engineering,"$1,000",8/14/2019
The Acculynx Scholarship for Higher Education,Acculynx is offering an annual scholarship to students at any four-year college of technical school.,- None -,"$2,000",8/14/2019
The Naegle Law Firm Scholarship,The Naegle Law Firm Scholarship was created to assist current or former service members and/or their children/grandchildren. The scholarship aims to assist eligible applicants in furthering their education goals while easing the financial burden of a higher education. The scholarship is open to students of any major and will be awarded twice a year to a different student each fall and spring semester.,- None -,"$1,000",8/14/2019
2019 Capital Auto Auction Annual Scholarship,"To help provide more individuals with the opportunity to get a solid education, Capital Auto Auction is awarding a scholarship to support students pursuing STEM-related degrees.",Other,"$1,000",8/15/2019
G2 Crowd Entrepreneurial Scholarship,"We're awarding $5,000 to 12 college students who exemplify an entrepreneurial spirit and mindset. Are you passionate about creating opportunities for yourself, then working to develop the skills and relationships necessary to cultivate them? If so, we invite you to apply for the G2 Entrepreneurial Scholarship.",Business,"$5,000",8/16/2019
Belluck & Fox Scholarship,"Belluck & Fox, LLP supports Mesothelioma Education. The scholarship money from their essay contest is one way the law firm encourages younger people to learn about the disease. The contest is also designed to generate enthusiasm by encouraging the public to support the entrants and their essays via Facebook. Through this outreach, their hope is that the contestants will spread the word about mesothelioma to family and friends, and expand the reach of mesothelioma awareness.",- None -,$0,8/18/2019
HSA for America’s Scholarship Program,"HSA for America believes that the solutions to most of the challenges we face as a society will come from the intelligence and creativity of today’s youth and tomorrow’s entrepreneurs. Ongoing education is an essential practice in today’s competitive marketplace, so they want to do their part to help..",- None -,$500,8/18/2019
Free Scholarship Search Sites,Listing of 70 free scholarship search sites,- None -,$0,8/19/2019
Elite Insurance Partners 2019 Scholarship,"If you’re over the age of 50 and returning to school to complete your degree, you’re eligible to apply for the Elite Insurance Partners & MedicareFAQ Scholarship benefit. We strive to help students, especially those with a passion in Senior Healthcare",Health Professions,"$1,000",8/22/2019
The Triumph Over Adversity Scholarship,The Khaki Law Firm is proud to announce The Triumph Over Adversity Scholarship to award a student who has overcome or helped a friend overcome challenges related to a disability and has come out stronger despite facing such challenges. Visit our scholarship page for further information regarding eligibility and application instructions!,- None -,"$1,000",8/30/2019
Criminal Attorney Scholarship,"The Law Office of Daniel Lazarine, PLLC is pleased to announce the annual Criminal Attorney Scholarship. We would like to help a student who desires to pursue a career in criminal defense law. Special consideration will be given to currently enrolled law school students. This is a biannual scholarship.",Law,$750,8/31/2019
New Rcrank.com Annual Scholarship Program,"At RC Rank, we understand that education is one of the most important parts of your successful career. Our scholarship is here to help individuals get the successful career they deserve. To win this scholarship you have to leave a unique comment on our recent blog post and submit an essay to scholarships@rcrank.com. Full instructions can be found on the website.",Business,"$1,000",8/31/2019
The 2019 Tampa Spine Center Road To Recovery Schol,"The Road To Recovery Scholarship Is Open To Any Student Who Is Currently Enrolled In An Accredited Community College, Undergraduate, Or Graduate Program In The United States. Students Who Are Incoming First-Year College Students And Have Graduated High School Or Possess A GED May Also Apply.",- None -,"$1,000",8/31/2019
Florida Rentals Annual Dream Vacation Scholarship,"At Florida Rentals, we know how hard you work all semester. Studying, stressing, and late night writing can take their toll. We think you deserve a vacation, or at least to dream about one. Unfortunately, dream vacations (and college tuition) can be expensive! To help with these costs, we are awarding one student a $1,000 scholarship to put towards his or her education.",Other,"$1,000",8/31/2019
Nicholas Braswell Strong Roots Scholarship,Discuss the meaning of community in the digital age and as a way to sponsor educational opportunities for individuals who are dedicated to building strong communities where passions and careers can take root.,Other,$500,8/31/2019
Verma Frams Scholarship,"Verma Farms is passionate about research intro natural foods, supplements, and other ways we can live healthier more fulfilling lives. To help in this mission, we've started the Verma Farms Scholarship for full or part-time students at an accredited college or University.",- None -,"$1,000",8/31/2019
WikiJob Student Scholarship,"WikiJob was founded in 2007 and provides detailed advice on how to excel at job applications, interviews and psychometric tests. Our information is free, but we recognise that the process of applying for roles at major graduate employers has hidden costs – whether that’s transport, accommodation, or paying for courses or practice packages. Each year, we will aim to support one individual who is finding it difficult to meet those costs, by offering a $1,000 scholarship intended to cover some of the expense. We see this as an investment in future talent.",Continuing Education,"$1,000",8/31/2019
Dealsscoop Scholarship,"The Dealsscoop scholarship is meant to make education more accessible. It is for any type of student, and can be used for any educational venture, including college, online classes, and any approved topic where the student is learning a valuable skill.",Liberal Arts & Sciences,$500,9/1/2019
JobQuiz Scholarship,Open to all U.S. students 16 and older. You must have a minimum cumulative GPA of 3.0 (of 4). Write 2 – 3 paragraphs describing your dream career and what steps you are taking to make this dream a reality.,- None -,$750,9/1/2019
"$2,000 Photography Scholarship Program",We know the importance of education for the youth and want to contribute to making the education possible and affordable for everyone. There are some students who can't afford the quality education due to the expenses of the education.,Arts,"$2,000",9/20/2019
USAttorneys National Essay Contest,"With the ever increasing costs of college tuition, we understand that the “American Dream” is getting harder to obtain. Many students leave school buried in student loan debt, which takes them years to climb out from under. As former law students ourselves, we know just how much time, dedication, and money it takes to become a practicing lawyer. We understand and would like to help. USAttorneys.com is pleased to announce that we will be holding an “USAttorneys.com Immigration Scholarship Essay Contest”. The essay winner selected will receive a $2,500.00 scholarship.",Law,"$2,500",9/22/2019
King of Maids Cleaning Services Scholarship,"Here at, King of Maids, we understand that education is a vital part of a successful career. Your degree unlocks opportunities to become an outstanding individual. We wanted to help you get there!",Other,$300,9/30/2019
How (Favorite Author/Book) Changed My Life,"Write an essay (700-800 words) that should weave your personal experience with the ideas or language presented by the author. Write something you truly care about. We’re not looking for a rigid academic synthesis of the topic, but instead, an essay that illustrates the importance of books in our modern culture. Make it inspirational, make it thought provoking, and make it fun.",Education,"$1,100",9/30/2019
Oleg Fastovsky Outstanding Citizen Scholarship,"A 500-word essay that answers the following question: What is one of the most important ways an individual can serve her or his community, and how have you served your community in this way?",- None -,$500,9/30/2019
Mark Sherman Law Juvenile Justice Scholarship,"The Law Offices of Mark Sherman, based in Stamford, Connecticut, is pleased to announce that we are offering a scholarship in the amount of $1,000 to one student who has an interest in working with young people who have already been convicted of a crime and been sent to jail. We want to support them in seizing new opportunities and giving them the means to be a success in their community. This student may have also experienced and overcome adversity in their life and can relate to these juveniles who are rebuilding their lives once out of jail.A 500-1,000 word essay describing a rehabilitative program the student would design for the purpose of supporting our youth and reducing jail times. The goal of the program would be to reduce the rate of juvenile recidivism by creating and promoting opportunities for youth in his or her community.",Law,"$1,000",9/30/2019
CHESTER Entrepreneur Scholarship,"Many young entrepreneurs dream of owning a business, running a website or starting a luggage company (us!) but have limited funds to start. With the hurdle of student fees and homework, many student entrepreneurs have no choice but to forestall their dreams. The CHESTER Entrepreneur Scholarship was created to help students jumpstart their businesses while in school. CHESTER, a direct-to-consumer luggage brand believes in helping passionate, hardworking, and talented students achieve their dream of starting their own business. CHESTER will award one (1) $2,500 scholarship to each winner determined by our judges. A total of four (4) scholarships will be awarded for each calendar year. This scholarship is designed to help young entrepreneurs afford the rising cost of education and help them along the road to entrepreneurship.",Business,"$2,500",9/30/2019
Weiss & Paarz Annual Rising Star Scholarship,We are thrilled to announce the third year of this exciting scholarship opportunity. Scholarships will be awarded each year to the student who demonstrates all of the following qualities and characteristics: Financial need Exceptional work ethic Strength in the face of adversity Outstanding academic achievement Commitment to the local community and charitable giving Ability to lead others Overall moral character,- None -,"$1,000",9/30/2019
Animal Rescue Scholarship,The attorneys at Aulsbrook Law Firm are passionate about supporting individuals and non-profit organizations dedicated to enhancing animal welfare. The Animal Rescue Scholarship will be awarded to a student who demonstrates a commitment to protecting and supporting animals in need.,Other,"$1,000",9/30/2019
Peak Home Security Scholarship,"Peak Home Security, a exclusive online portal into the world of home security, is pleased to offer a $1,000 scholarship to a current college student planning to pursue a career in Marketing, Business, IT or Communications. Any student willing to participate in this scholarship program then one need to submit an essay and the winner will be chosen based on best submission, examined by our experts.",Other,"$1,000",9/30/2019
The HOTH SEO Scholarship Program,"The HOTH is an SEO company specializing in content marketing and link building and promotes education in digital marketing and search engine optimization. For this reason, we’re pleased to announce the HOTH SEO Scholarship award. We know that affording education can be difficult which is why we set up our program to help aid the cost of attending.",Other,"$1,000",10/1/2019
Bookmundi's Travel the World Scholarship,"At Bookmundi, we are passionate about seeing dreams come to fruition. We assist young people planning their dream vacation and hear the incredible life changing effects it has on them. We would love to contribute to an undergraduate travel-enthusiast student’s education with a scholarship.",- None -,"$1,000",10/1/2019
The Skylight Effect Scholarship,"The scholarship will reward a prospective student who plans on or is currently majoring in Photography, Art, Graphic Design, Architecture, or Interior Design, but is open to all majors. Students will be asked to capture the before and after effects of a skylight installation in a building using photos, photo edited mock-ups, digitized sketches, drawings, or paintings.","Architecture, Design & Planning","$1,000",10/1/2019
The Bonsai Gardening Scholarship,"We wish to share our expertise and educate you on the benefits of Bonsai trees, taking care of them as well as their environmental contribution, business influencing roles and health impact. The Bonsai Tree Gardener offers a $1000 gardening scholarship to both graduates and undergraduates who are passionateabout gardening. The Bonsai Tree Gardener Scholarship might appeal to you if you are majoring in the following programs: Agronomy Agriculture Floriculture Horticulture Landscape Design Botany Forestry Wildlife Science Plant science/Pathology City Planning (Rural and Urban) Forest or Habitat ecology Environmental management Environmental Engineering Land management",Other,"$1,000",10/1/2019
